epoch,loss,accuracy,precision,recall,f1
,1.5460772514343262,0.4545454545454545,0.3333333333333333,0.5,0.3333333333333333
0.0,1.4361838102340698,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
1.0,1.4713218212127686,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
2.0,1.4067569971084597,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
3.0,1.3221420049667358,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
4.0,1.2844371795654297,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
5.0,1.2279716730117798,0.2727272727272727,0.0666666666666666,0.15,0.0923076923076923
6.0,1.1648050546646118,0.3636363636363636,0.1416666666666666,0.2166666666666666,0.1666666666666666
7.0,1.088863968849182,0.4545454545454545,0.1888888888888888,0.2666666666666666,0.203076923076923
8.0,1.0239787101745603,0.4545454545454545,0.3523809523809523,0.4166666666666667,0.3757575757575757
9.0,0.9993709325790405,0.5454545454545454,0.4,0.4833333333333333,0.43428571428571433
